X,Y,OBJECTID,Ward,Precinct,Location2,Location3,Location4,Voting_Room,HP_Entrance_Only
756683.234266549,2956471.41769515,243,22,01,HONAN - ALLSTON BRANCH LIBRARY,"300 NORTH HARVARD STREET, 02134",,VOTE IN REAR COMMUNITY ROOM,
756683.234266549,2956471.41769515,244,22,02,HONAN - ALLSTON BRANCH LIBRARY,"300 NORTH HARVARD STREET, 02134",,VOTE IN FRONT COMMUNITY ROOM,
746143.590975806,2953077.32343347,245,22,04,OAK SQUARE YMCA,"615 WASHINGTON STREET, 02135",,VOTE IN GYMNASIUM,
756683.234266549,2956471.41769515,246,22,05,HONAN - ALLSTON BRANCH LIBRARY,"300 NORTH HARVARD STREET, 02134",,VOTE IN FRONT COMMUNITY ROOM,
749852.954948142,2952120.1734449,247,22,03,VERONICA B. SMITH MULTI-SERVICE SENIOR CENTER,"20 CHESTNUT HILL AVENUE, 02135",,"VOTE IN AUDITORIUM, 2ND FLOOR",
746143.590975806,2953077.32343347,248,22,07,OAK SQUARE YMCA,"615 WASHINGTON STREET, 02135",,VOTE IN GYMNASIUM,
751759.679481134,2952824.54342723,249,22,06,BOSTON GREEN ACADEMY - (FORMERLY KNOWN AS WILLIAM HOWARD TAFT SCHOOL),"20 WARREN STREET, 02135",,VOTE IN GYMNASIUM,
748027.738126144,2951093.53015697,250,22,08,THOMAS A. EDISON SCHOOL,"60 GLENMONT ROAD, 02135",,ROOM 013,
747866.694156885,2953521.42228281,251,22,11,LYON UPPER SCHOOL (7-12) (FORMERLY JAMES A. GARFIELD SCHOOL),"95 BEECHCROFT STREET, 02135",,VOTE IN CAFETERIA,
747866.694156885,2953521.42228281,252,22,10,LYON UPPER SCHOOL (7-12) (FORMERLY JAMES A. GARFIELD SCHOOL),"95 BEECHCROFT STREET, 02135",,VOTE IN CAFETERIA,
,,253,,,,,,,
748027.738126144,2951093.53015697,254,22,09,THOMAS A. EDISON SCHOOL,"60 GLENMONT ROAD, 02135",,ROOM 015,
747866.694156885,2953521.42228281,255,22,12,LYON UPPER SCHOOL (7-12) (FORMERLY JAMES A. GARFIELD SCHOOL),"95 BEECHCROFT STREET, 02135",,VOTE IN CAFETERIA,
746143.590975806,2953077.32343347,256,22,13,OAK SQUARE YMCA,"615 WASHINGTON STREET, 02135",,VOTE IN GYMNASIUM,
