X,Y,OBJECTID,Ward,Precinct,Location2,Location3,Location4,Voting_Room,HP_Entrance_Only
775737.586577728,2942161.27669606,120,13,08,SAINT JOHN PAUL II CATHOLIC ACADEMY COLUMBIA CAMPUS (FORMERLY KNOWN AS SAINT MARGARET'S SCHOOL),"790 COLUMBIA ROAD, 02125",,VOTE IN CAFETERIA,
769640.8825638,2933487.48859748,121,14,02,SARAH GREENWOOD SCHOOL,"186 GLENWAY STREET, 02121",,VOTE IN ART ROOM.,
776795.987676144,2939133.31227957,122,13,10,CRISTO REY BOSTON HIGH SCHOOL,"100 SAVIN HILL AVENUE., 02124",,VOTE IN LIBRARY,
771015.020891637,2937931.0974924,123,14,01,LILLA G. FREDERICK PILOT MIDDLE SCHOOL,"270 COLUMBIA ROAD, 02121",,VOTE IN GYMNASIUM,
767970.080131143,2928100.02791573,124,14,05,PAULINE AGASSIZ SHAW SCHOOL,"429 NORFOLK STREET, 02124",,VOTE IN LARGE CAFETERIA,
769663.096102059,2931717.52691431,125,14,07,JOSEPH LEE SCHOOL,"155 TALBOT AVENUE, 02124",,VOTE IN AUDITORIUM,
771015.020891637,2937931.0974924,126,14,03,LILLA G. FREDERICK PILOT MIDDLE SCHOOL,"270 COLUMBIA ROAD, 02121",,VOTE IN GYMNASIUM,
771015.020891637,2937931.0974924,127,14,04,LILLA G. FREDERICK PILOT MIDDLE SCHOOL,"270 COLUMBIA ROAD, 02121",,VOTE IN GYMNASIUM,
768100.136957631,2932472.99882856,128,14,09,BOYS & GIRLS CLUB,"15 TALBOT AVENUE, 02124",,VOTE IN LOBBY,
768330.931771636,2935089.95684923,129,14,06,ENDICOTT SCHOOL - (FORMERLY KNOWN AS BRIDGE BOSTON CHARTER SCHOOL),"2 MCCLELLAN STREET, 02121",,VOTE IN BASEMENT HALLWAY.,
768708.344402641,2930909.1686229,130,14,10,FRANKLIN FIELD ELDERLY COMMUNITY ROOM,"100 AMES STREET, 02124",,VOTE IN TENANTS ASSOCIATION MEETING ROOM,
768166.573176473,2928264.2309994,131,14,12,METROPOLITAN BAPTIST CHURCH,"393 NORFOLK STREET, 02124",,,
766458.497852474,2928151.05143572,132,14,08,MORNING STAR BAPTIST CHURCH,"1257 BLUE HILL AVENUE, 02126",,VOTE IN FELLOWSHIP HALL,
768166.573176473,2928264.2309994,133,14,13,METROPOLITAN BAPTIST CHURCH,"393 NORFOLK STREET, 02124",,,
774747.425828382,2937486.41629514,134,15,02,FIRE STATION,"7 PARISH STREET, 02122",,,
766458.497852474,2928151.05143572,135,14,11,MORNING STAR BAPTIST CHURCH,"1257 BLUE HILL AVENUE, 02126",,VOTE IN CLASSROOM,
766458.497852474,2928151.05143572,136,14,14,MORNING STAR BAPTIST CHURCH,"1257 BLUE HILL AVENUE, 02126",,VOTE IN FELLOWSHIP HALL,
771015.020891637,2937931.0974924,137,15,01,LILLA G. FREDERICK PILOT MIDDLE SCHOOL,"270 COLUMBIA ROAD, 02121",,VOTE IN GYMNASIUM,
774747.425828382,2937486.41629514,138,15,03,FIRE STATION,"7 PARISH STREET, 02122",,,
773811.689510882,2937717.05723806,139,15,04,PASCIUCCO APARTMENTS,"330 BOWDOIN STREET, 02122",,VOTE IN COMMUNITY ROOM,
776178.37244156,2938322.52190639,140,15,06,SAVIN HILL APARTMENTS,"130 AUCKLAND STREET, 02125",,VOTE IN COMMUNITY ROOM,
774241.651249394,2934620.90923089,141,15,07,VIET AID COMMUNITY CENTER,"42 CHARLES STREET, 02125",,VOTE IN COMMUNITY ROOM,
772163.873908892,2934528.37070206,142,15,05,UP ACADEMY OF DORCHESTER - (FORMERLY JOHN MARSHALL ELEMENTARY SCHOOL),"35 WESTVILLE STREET, 02124",,VOTE IN GYMNASIUM,
775339.897412464,2936270.11328156,143,15,09,DORCHESTER HOUSE,"1353 DORCHESTER AVENUE, 02122",,VOTE IN CAFETERIA,
774241.651249394,2934620.90923089,144,15,08,VIET AID COMMUNITY CENTER,"42 CHARLES STREET, 02125",,VOTE IN COMMUNITY ROOM,
774609.892638892,2932450.09729956,145,16,01,DR. WILLIAM W. HENDERSON INCLUSION ELEMENTARY SCHOOL (FORMERLY PATRICK O'HEARN SCHOOL),"1669 DORCHESTER AVENUE, 02124",,VOTE IN AUDITORIUM,
774609.892638892,2932450.09729956,146,16,04,DR. WILLIAM W. HENDERSON INCLUSION ELEMENTARY SCHOOL (FORMERLY PATRICK O'HEARN SCHOOL),"1669 DORCHESTER AVENUE, 02124",,VOTE IN AUDITORIUM,
778123.068355307,2932559.86512464,147,16,05,RICHARD J. MURPHY SCHOOL,"1 WORRELL STREET, 02122",,VOTE IN LOBBY,
777067.608195886,2933439.86139615,148,16,02,NATIONAL GUARD ARMORY,"70 VICTORY ROAD., 02122",,VOTE IN GYMNASIUM,
774047.929523975,2931820.04114498,149,16,03,SAINT MARK’S SCHOOL HALL,"197 A CENTRE STREET, 02124",,VOTE IN AUDITORIUM,
774047.929523975,2931820.04114498,150,16,06,SAINT MARK’S SCHOOL HALL,"197 A CENTRE STREET, 02124",,VOTE IN AUDITORIUM,
778111.787537977,2931317.11564164,151,16,10,SAINT JOHN PAUL II CATHOLIC ACADEMY NEPONSET CAMPUS (FORMERLY KNOWN AS SAINT ANN'S SCHOOL),"239 NEPONSET AVENUE, 02122",,VOTE IN GYMNASIUM,
777066.883459806,2929759.91435973,152,16,09,THOMAS J. KENNY ELEMENTARY SCHOOL,"19 OAKTON AVENUE, 02122",,VOTE IN CLASSROOM NEAR HP ENTRANCE-REAR OF SCHOOL,
774344.636279643,2929410.17982298,153,16,08,THE PARISH OF ALL SAINTS,"209 ASHMONT STREET, 02124",,VOTE IN COMMUNITY ROOM,
778111.787537977,2931317.11564164,154,16,07,SAINT JOHN PAUL II CATHOLIC ACADEMY NEPONSET CAMPUS (FORMERLY KNOWN AS SAINT ANN'S SCHOOL),"239 NEPONSET AVENUE, 02122",,VOTE IN GYMNASIUM,
778572.0654888,2928250.02039789,155,16,11,FLORIAN HALL,"55 HALLET STREET, 02122",,VOTE IN BANQUET HALL,
771998.288282052,2933133.61824223,156,17,01,CODMAN SQUARE TECH CENTER,"450 WASHINGTON STREET, 02124",,VOTE IN COMMUNITY ROOM,
778572.0654888,2928250.02039789,157,16,12,FLORIAN HALL,"55 HALLET STREET, 02122",,VOTE IN BANQUET HALL,
771998.288282052,2933133.61824223,158,17,03,CODMAN SQUARE TECH CENTER,"450 WASHINGTON STREET, 02124",,VOTE IN COMMUNITY ROOM,
772163.873908892,2934528.37070206,159,17,02,UP ACADEMY OF DORCHESTER - (FORMERLY JOHN MARSHALL ELEMENTARY SCHOOL),"35 WESTVILLE STREET, 02124",,VOTE IN GYMNASIUM,
766938.671104714,2926096.55292006,160,17,07,MILDRED AVE SCHOOL,"5 MILDRED AVE, 02126",,VOTE IN GYMNASIUM,
772644.968747228,2927810.09903364,161,17,04,HENDERSON UPPER (FORMERLY KNOWN AS WOODROW WILSON MIDDLE SCHOOL),"18 CROFTLAND AVENUE, 02124",,VOTE IN ROOM 20,
772282.306086719,2930134.74628723,162,17,06,CODMAN SQUARE BRANCH LIBRARY,"690 WASHINGTON STREET, 02124",,VOTE IN MEETING ROOM,
772282.306086719,2930134.74628723,163,17,05,CODMAN SQUARE BRANCH LIBRARY,"690 WASHINGTON STREET, 02124",,VOTE IN MEETING ROOM,
766938.671104714,2926096.55292006,164,17,10,MILDRED AVE SCHOOL,"5 MILDRED AVE, 02126",,VOTE IN GYMNASIUM,
772265.808088228,2928896.72645356,165,17,09,CODMAN SQUARE APARTMENTS,"784 WASHINGTON STREET, 02124",,VOTE IN COMMUNITY ROOM,
772282.306086719,2930134.74628723,166,17,08,CODMAN SQUARE BRANCH LIBRARY,"690 WASHINGTON STREET, 02124",,VOTE IN MEETING ROOM,
770461.059729218,2926426.78126223,167,17,12,CHARLES H. TAYLOR ELEMENTARY SCHOOL,"1060 MORTON STREET, 02126",,"VOTE IN ROOM 002,",
772937.25917314,2925024.82901365,168,17,14,LOWER MILLS LIBRARY,"27 RICHMOND STREET, 02124",,VOTE IN MEETING ROOM,
772937.25917314,2925024.82901365,169,17,13,LOWER MILLS LIBRARY,"27 RICHMOND STREET, 02124",,VOTE IN MEETING ROOM,
772644.968747228,2927810.09903364,170,17,11,HENDERSON UPPER (FORMERLY KNOWN AS WOODROW WILSON MIDDLE SCHOOL),"18 CROFTLAND AVENUE, 02124",,VOTE IN ROOM 20,
766938.671104714,2926096.55292006,171,18,02,MILDRED AVE SCHOOL,"5 MILDRED AVE, 02126",,VOTE IN GYMNASIUM,
763330.213754728,2925768.6726703,172,18,03,MATTAHUNT ELEMENTARY SCHOOL,"100 HEBRON STREET, 02126",,VOTE IN SMALL GYMNASIUM,
769984.225052968,2924491.71623473,173,18,01,GROVELAND COMMUNITY ROOM,"15 MARY MOORE BEATTY CIRCLE, 02126",,VOTE IN COMMUNITY ROOM,
764644.667490631,2921905.7492938,174,18,05,HASSAN APARTMENTS,"705 RIVER STREET, 02126",,VOTE IN RECREATION ROOM,
769984.225052968,2924491.71623473,175,18,04,GROVELAND COMMUNITY ROOM,"15 MARY MOORE BEATTY CIRCLE, 02126",,VOTE IN COMMUNITY ROOM,
759602.805199057,2929259.2231039,176,18,07,JOHN D PHILBRICK ELEMENTARY SCHOOL,"40 PHILBRICK STREET, 02131",,VOTE IN CAFETERIA,
759815.497687057,2921905.42711598,177,18,08,ANOTHER COURSE TO COLLEGE - (FORMERLY KNOWN AS ELIHU GREENWOOD LEADERSHIP ACADEMY),"612 METROPOLITAN AVENUE, 02136",,VOTE IN CAFETERIA,
757100.514271885,2925381.63801131,178,18,09,GEORGE H. CONLEY ELEMENTARY SCHOOL,"450 POPLAR STREET, 02131",,VOTE IN HALLWAY & CAFETERIA,
754855.034838974,2926454.26086606,179,18,10,PHINEAS BATES ELEMENTARY SCHOOL,"426 BEECH STREET, 02131",,VOTE IN CAFETERIA,
754855.034838974,2926454.26086606,180,18,11,PHINEAS BATES ELEMENTARY SCHOOL,"426 BEECH STREET, 02131",,VOTE IN CAFETERIA,
763184.770804137,2922639.44106789,181,18,06,JAMES J. CHITTICK ELEMENTARY SCHOOL,"154 RUSKINDALE ROAD, 02126",,VOTE IN AUDITORIUM,
759815.497687057,2921905.42711598,182,18,14,ANOTHER COURSE TO COLLEGE - (FORMERLY KNOWN AS ELIHU GREENWOOD LEADERSHIP ACADEMY),"612 METROPOLITAN AVENUE, 02136",,VOTE IN CAFETERIA,
758745.870889306,2918650.02811497,183,18,12,HYDE PARK MUNICIPAL BUILDING,"1179 RIVER STREET, 02136",,VOTE IN MULTI PURPOSE ROOM IN BASEMENT,
757745.948348477,2916963.79789165,184,18,13,THE BLAKE ESTATES,"1344 HYDE PARK AVENUE, 02136",,VOTE IN COMMUNITY ROOM,
761738.053225145,2917781.60924815,185,18,16,BOSTON BAPTIST COLLEGE,"950 METROPOLITAN AVENUE, 02136",,,
759815.497687057,2921905.42711598,186,18,15,ANOTHER COURSE TO COLLEGE - (FORMERLY KNOWN AS ELIHU GREENWOOD LEADERSHIP ACADEMY),"612 METROPOLITAN AVENUE, 02136",,VOTE IN CAFETERIA,
757745.948348477,2916963.79789165,187,18,18,THE BLAKE ESTATES,"1344 HYDE PARK AVENUE, 02136",,VOTE IN COMMUNITY ROOM,
757883.226617217,2913885.78895581,188,18,17,FRANKLIN D. ROOSEVELT K-8 SCHOOL,"95 NEEDHAM ROAD, 02136",,VOTE IN CAFETERIA,
758745.870889306,2918650.02811497,189,18,19,HYDE PARK MUNICIPAL BUILDING,"1179 RIVER STREET, 02136",,VOTE IN MULTI PURPOSE ROOM IN BASEMENT,
757100.514271885,2925381.63801131,190,18,22,GEORGE H. CONLEY ELEMENTARY SCHOOL,"450 POPLAR STREET, 02131",,VOTE IN HALLWAY & CAFETERIA,
752421.087935224,2919556.42984548,191,18,23,GEORGETOWNE HOMES COMMUNITY ROOM,"400 A GEORGETOWNE DRIVE, 02136",,VOTE IN MAIN COMMUNITY ROOM (NEXT TO OFFICE),
755586.875894964,2910470.30431698,192,18,20,HEMENWAY CAMPUS OF THE FRANKLIN D. ROOSEVELT K-8 SCHOOL,"30 MILLSTONE ROAD, 02136",,VOTE IN ROOM 102,
763184.770804137,2922639.44106789,193,18,21,JAMES J. CHITTICK ELEMENTARY SCHOOL,"154 RUSKINDALE ROAD, 02126",,VOTE IN AUDITORIUM,
763175.920100048,2941239.90353881,194,19,04,NATE SMITH ELDERLY HOUSING,"155 LAMARTINE STREET, 02130",,VOTE IN MEETING ROOM,
760764.8766938,2941342.18548648,195,19,01,CURLEY K-8 (FORMERLY KNOWN AS MARY E. CURLEY SCHOOL),"493 CENTRE STREET, 02130",,VOTE IN CAFETERIA,
760312.228977054,2940124.78437798,196,19,05,COLLINS APARTMENTS,"29 POND STREET, 02130",,VOTE IN COMMUNITY ROOM,
755850.425236642,2936596.76814006,197,19,02,JOSEPH P MANNING ELEMENTARY SCHOOL,"130 LOUDER'S LANE, 02130",,VOTE IN CAFETERIA,
760764.8766938,2941342.18548648,198,19,03,CURLEY K-8 (FORMERLY KNOWN AS MARY E. CURLEY SCHOOL),"493 CENTRE STREET, 02130",,VOTE IN CAFETERIA,
761820.98153697,2938868.18288855,199,19,06,BOWDITCH SCHOOL BUILDING,"82 GREEN STREET, 02130",,VOTE IN COMMUNITY ROOM,
760464.188646883,2937261.09522347,200,19,09,MARGARITA MUNIZ ACADEMY (FORMERLY LOUIS AGASSIZ ELEMENTARY SCHOOL),"20 CHILD STREET, 02130",,VOTE IN GYMNASIUM,
760464.188646883,2937261.09522347,201,19,08,MARGARITA MUNIZ ACADEMY (FORMERLY LOUIS AGASSIZ ELEMENTARY SCHOOL),"20 CHILD STREET, 02130",,VOTE IN GYMNASIUM,
757660.104031965,2928605.56922747,202,19,10,WASHINGTON IRVING SCHOOL,"105 CUMMINS HIGHWAY, 02131",,VOTE IN ROOM #102,
759604.235642388,2930994.61267772,203,19,07,WOODBOURNE APARTMENTS,"6 SOUTHBOURNE ROAD, 02130",,VOTE IN DINING ROOM,
